kepoi_name,koi_period,koi_prad,koi_depth,planet_prob
K04794.01,24.5041103,1.03,119.5,0.981055990916352
K04854.01,2.63527677,0.76,70.4,0.9810555250247307
K05790.01,178.266978,3.71,1857.0,0.9809165554863936
K07460.01,5.70509519,1.58,283.6,0.9808589974954426
K04666.01,12.4019263,1.49,211.1,0.9807074468629838
K02081.01,6.2141496,4.27,183.4,0.9806463441047477
K01899.02,10.5226374,1.08,68.9,0.9805884857774494
K05104.01,21.1579573,1.63,215.9,0.9804527858602534
K04634.01,4.02745396,0.98,85.2,0.9803350538669874
K02677.01,237.787237,9.91,1627.7,0.9803300366353165
K07991.01,11.9451376,3.32,63.3,0.9802966221127529
K03472.01,10.43003118,1.14,120.0,0.98028399688078
K04060.01,225.26213,2.36,389.2,0.9801285211923229
K01338.03,21.0112068,1.4,163.6,0.9800210516920375
K04792.01,5.75902182,0.91,70.8,0.9799439793954254
K04451.01,8.8303681,1.32,296.2,0.979815462637337
K05475.02,5.68325648,0.97,44.6,0.9798064529124436
K05224.01,171.028691,2.49,394.2,0.9795866665616632
K04464.01,4.373570433,1.23,366.0,0.9794452503854454
K04500.03,14.7510068,1.7,381.1,0.9793858309306054
K04435.01,10.8614163,1.01,64.8,0.9792234248315437
K01574.04,8.9772888,1.79,97.5,0.9791651369693496
K02906.03,21.9424316,1.23,72.7,0.9791525027127147
K02420.02,5.4675514,1.07,87.2,0.9791005837209231
K02295.01,16.2908527,0.52,44.1,0.9790799170642372
K05800.01,11.006795,1.34,146.4,0.9790151173550017
K04341.01,10.778313,1.25,90.7,0.9785816597377803
K06921.01,6.87778029,1.19,124.0,0.9784226148659525
K06783.01,11.8496351,1.31,183.8,0.9783727800558036
K06672.01,2.28494301,1.0,161.8,0.978302562523575
K01246.01,19.03723442,5.74,401.3,0.9782737230898613
K01106.03,13.2298203,1.5,157.8,0.9782088413114254
K05692.01,2.64181261,0.59,70.0,0.9780493763259968
K02739.02,7.0956395,1.2,108.1,0.9780410583652749
