kepid,kepoi_name,kepler_name,koi_disposition,koi_period,koi_time0bk,koi_duration,koi_depth,koi_prad,koi_impact,koi_model_snr,koi_num_transits,koi_steff,koi_slogg,koi_srad,koi_kepmag
4848423,K03560.01,,FALSE POSITIVE,1.501760172,131.5669078,5.85519,387905.0,90.92,0.518,2624.0,320.0,6327.0,4.315,1.29,11.825
11403216,K03561.01,,FALSE POSITIVE,4.05325447,134.744552,4.0116,110916.0,1668.79,15.329,446.1,279.0,6022.0,4.453,1.039,15.537
11853878,K01833.02,Kepler-968 d,CONFIRMED,7.68433346,133.36007,1.4346,1175.0,2.58,0.951,28.5,135.0,4402.0,4.682,0.572,14.265
5774375,K07740.01,,FALSE POSITIVE,1.549979213,132.675027,7.5945,370546.0,136.64,0.486,672.7,672.0,5408.0,3.777,2.058,13.939
7692093,K03337.01,,CANDIDATE,11.16622885,134.96951,3.389,353.9,1.56,0.176,13.6,120.0,5552.0,4.562,0.836,15.927
8263752,K03338.01,,FALSE POSITIVE,10.99381963,133.253208,3.7889,1685.8,40.17,1.274,102.9,125.0,6553.0,4.366,1.157,13.427
8263752,K03338.02,,FALSE POSITIVE,10.9938087,138.80624,5.0403,1456.9,5.33,0.924,100.4,123.0,6553.0,4.366,1.157,13.427
7772914,K03339.01,,CANDIDATE,23.1334494,154.45296,3.602,456.3,2.55,0.954,21.6,60.0,5712.0,4.382,0.932,14.656
3529290,K03340.01,,CANDIDATE,8.9539656,132.8453,4.898,70.4,0.84,0.656,12.2,143.0,6168.0,4.452,0.947,13.776
3529290,K03340.02,,CANDIDATE,13.7281373,143.55218,5.304,106.6,1.06,0.748,15.4,97.0,6168.0,4.452,0.947,13.776
9285265,K03410.01,Kepler-1491 b,CONFIRMED,16.5860329,133.28136,7.043,231.3,2.09,0.167,14.6,80.0,5626.0,4.149,1.389,15.589
6025124,K03411.01,,CANDIDATE,26.83771808,158.125331,1.6162,8512.0,12.68,0.917,101.4,39.0,6194.0,4.445,1.069,14.426
5780930,K03412.01,Kepler-1492 b,CONFIRMED,16.7525077,131.59834,3.174,338.3,3.65,0.763,18.2,80.0,4807.0,3.906,1.802,14.534
